"release_group_id","release_location_name","run","avg_weight","avg_length","mid_release_date","group_total_marked_N","group_total_release_N","month","year","monthly_max_flow","date","forklength","tag_code","cwt_tt","relloc_area","WY"
390,"COLEMAN NFH","fall",0.14,68,2023-03-29,98115,394930,3,2023,57000,2023-04-16,84,"056693",17.5,"Battle","W"
390,"COLEMAN NFH","fall",0.14,68,2023-03-29,98115,394930,3,2023,57000,2023-04-20,78,"056693",21.5,"Battle","W"
391,"COLEMAN NFH","fall",0.14,70,2023-04-25,96224,381650,4,2023,13600,2023-05-14,82,"056716",18.5,"Battle","W"
392,"COLEMAN NFH","fall",0.14,74,2023-05-04,77121,311411,5,2023,18000,NA,NA,NA,NA,"Battle","W"
393,"COLEMAN NFH","fall",0.16,65,2023-03-29,93118,382034,3,2023,57000,2023-04-02,64,"056695",3.5,"Battle","W"
393,"COLEMAN NFH","fall",0.16,65,2023-03-29,93118,382034,3,2023,57000,2023-04-15,74,"056695",16.5,"Battle","W"
394,"COLEMAN NFH","fall",0.16,66,2023-03-29,83546,342657,3,2023,57000,2023-04-08,72,"056694",9.5,"Battle","W"
394,"COLEMAN NFH","fall",0.16,66,2023-03-29,83546,342657,3,2023,57000,2023-04-08,74,"056694",9.5,"Battle","W"
394,"COLEMAN NFH","fall",0.16,66,2023-03-29,83546,342657,3,2023,57000,2023-04-15,76,"056694",16.5,"Battle","W"
395,"COLEMAN NFH","fall",0.18,70,2023-05-04,80104,324183,5,2023,18000,NA,NA,NA,NA,"Battle","W"
400,"COLEMAN NFH","fall",1.68,53,1998-03-04,34500,441850,3,1998,65100,NA,NA,NA,NA,"Battle",NA
401,"COLEMAN NFH","fall",2.01,55,1998-04-07,33665,478249,4,1998,38200,NA,NA,NA,NA,"Battle",NA
402,"COLEMAN NFH","fall",2.17,57,1998-04-23,32292,651696,4,1998,38200,NA,NA,NA,NA,"Battle",NA
403,"COLEMAN NFH","fall",2.21,59,1998-03-04,33836,449384,3,1998,65100,NA,NA,NA,NA,"Battle",NA
404,"COLEMAN NFH","fall",2.22,59,1999-04-27,34976,442954,4,1999,17200,NA,NA,NA,NA,"Battle",NA
405,"COLEMAN NFH","fall",2.25,56,1998-03-04,25548,449250,3,1998,65100,NA,NA,NA,NA,"Battle",NA
406,"COLEMAN NFH","fall",2.25,58,1998-03-06,35612,455762,3,1998,65100,NA,NA,NA,NA,"Battle",NA
407,"COLEMAN NFH","fall",2.3,62,2022-03-18,106436,425332,3,2022,4430,NA,NA,NA,NA,"Battle","D"
408,"COLEMAN NFH","fall",2.32,59,1998-03-06,32477,455552,3,1998,65100,NA,NA,NA,NA,"Battle",NA
409,"COLEMAN NFH","fall",2.35,58,1998-03-04,26515,449066,3,1998,65100,NA,NA,NA,NA,"Battle",NA
410,"COLEMAN NFH","fall",2.4,62,2022-03-18,104798,418371,3,2022,4430,NA,NA,NA,NA,"Battle","D"
411,"COLEMAN NFH","fall",2.41,56,1997-04-16,65391,513763,4,1997,10200,NA,NA,NA,NA,"Battle",NA
412,"COLEMAN NFH","fall",2.41,59,1999-03-31,25343,926018,3,1999,41200,NA,NA,NA,NA,"Battle",NA
413,"COLEMAN NFH","fall",2.5,63,2022-03-18,111548,450080,3,2022,4430,NA,NA,NA,NA,"Battle","D"
414,"COLEMAN NFH","fall",2.5,64,2022-03-18,94727,378596,3,2022,4430,NA,NA,NA,NA,"Battle","D"
415,"COLEMAN NFH","fall",2.6,63,2021-03-18,110850,447637,3,2021,8670,2021-03-30,63,"056554",11.5,"Battle","D"
415,"COLEMAN NFH","fall",2.6,63,2021-03-18,110850,447637,3,2021,8670,2021-04-10,78,"056554",22.5,"Battle","D"
416,"COLEMAN NFH","fall",2.62,62,2010-04-16,44656,183350,4,2010,16600,NA,NA,NA,NA,"Battle","D"
417,"COLEMAN NFH","fall",2.68,62,1998-03-31,29701,446730,3,1998,65100,NA,NA,NA,NA,"Battle",NA
418,"COLEMAN NFH","fall",2.7,64,2021-03-18,112910,457568,3,2021,8670,2021-04-01,70,"056553",13.5,"Battle","D"
418,"COLEMAN NFH","fall",2.7,64,2021-03-18,112910,457568,3,2021,8670,2021-04-20,80,"056553",32.5,"Battle","D"
419,"COLEMAN NFH","fall",2.7,64,2022-03-18,104084,417645,3,2022,4430,NA,NA,NA,NA,"Battle","D"
420,"COLEMAN NFH","fall",2.78,63,1999-04-27,36522,452591,4,1999,17200,NA,NA,NA,NA,"Battle",NA
421,"COLEMAN NFH","fall",2.8,63,2021-03-18,110629,444983,3,2021,8670,2021-04-19,78,"056555",31.5,"Battle","D"
422,"COLEMAN NFH","fall",2.8,64,2022-03-15,104486,419110,3,2022,4430,NA,NA,NA,NA,"Battle","D"
423,"COLEMAN NFH","fall",2.8,65,2022-03-15,121127,485725,3,2022,4430,NA,NA,NA,NA,"Battle","D"
425,"COLEMAN NFH","fall",2.85,61,1998-03-31,24173,439784,3,1998,65100,NA,NA,NA,NA,"Battle",NA
428,"COLEMAN NFH","fall",2.9,61,2016-03-14,114271,457610,3,2016,42100,2016-03-27,71,"055956",12.5,"Battle","D"
428,"COLEMAN NFH","fall",2.9,61,2016-03-14,114271,457610,3,2016,42100,2016-03-28,72,"055956",13.5,"Battle","D"
428,"COLEMAN NFH","fall",2.9,61,2016-03-14,114271,457610,3,2016,42100,2016-03-28,76,"055956",13.5,"Battle","D"
428,"COLEMAN NFH","fall",2.9,61,2016-03-14,114271,457610,3,2016,42100,2016-03-28,75,"055956",13.5,"Battle","D"
428,"COLEMAN NFH","fall",2.9,61,2016-03-14,114271,457610,3,2016,42100,2016-03-28,69,"055956",13.5,"Battle","D"
428,"COLEMAN NFH","fall",2.9,61,2016-03-14,114271,457610,3,2016,42100,2016-04-01,78,"055956",17.5,"Battle","D"
428,"COLEMAN NFH","fall",2.9,61,2016-03-14,114271,457610,3,2016,42100,2016-04-01,77,"055956",17.5,"Battle","D"
428,"COLEMAN NFH","fall",2.9,61,2016-03-14,114271,457610,3,2016,42100,2016-04-01,81,"055956",17.5,"Battle","D"
428,"COLEMAN NFH","fall",2.9,61,2016-03-14,114271,457610,3,2016,42100,2016-04-01,79,"055956",17.5,"Battle","D"
428,"COLEMAN NFH","fall",2.9,61,2016-03-14,114271,457610,3,2016,42100,2016-04-01,80,"055956",17.5,"Battle","D"
428,"COLEMAN NFH","fall",2.9,61,2016-03-14,114271,457610,3,2016,42100,2016-04-02,82,"055956",18.5,"Battle","D"
428,"COLEMAN NFH","fall",2.9,61,2016-03-14,114271,457610,3,2016,42100,2016-04-02,78,"055956",18.5,"Battle","D"
428,"COLEMAN NFH","fall",2.9,61,2016-03-14,114271,457610,3,2016,42100,2016-04-03,77,"055956",19.5,"Battle","D"
428,"COLEMAN NFH","fall",2.9,61,2016-03-14,114271,457610,3,2016,42100,2016-04-03,78,"055956",19.5,"Battle","D"
428,"COLEMAN NFH","fall",2.9,61,2016-03-14,114271,457610,3,2016,42100,2016-04-03,79,"055956",19.5,"Battle","D"
428,"COLEMAN NFH","fall",2.9,61,2016-03-14,114271,457610,3,2016,42100,2016-04-03,82,"055956",19.5,"Battle","D"
428,"COLEMAN NFH","fall",2.9,61,2016-03-14,114271,457610,3,2016,42100,2016-04-05,78,"055956",21.5,"Battle","D"
428,"COLEMAN NFH","fall",2.9,61,2016-03-14,114271,457610,3,2016,42100,2016-04-05,76,"055956",21.5,"Battle","D"
428,"COLEMAN NFH","fall",2.9,61,2016-03-14,114271,457610,3,2016,42100,2016-04-05,77,"055956",21.5,"Battle","D"
428,"COLEMAN NFH","fall",2.9,61,2016-03-14,114271,457610,3,2016,42100,2016-04-06,76,"055956",22.5,"Battle","D"
428,"COLEMAN NFH","fall",2.9,61,2016-03-14,114271,457610,3,2016,42100,2016-04-06,80,"055956",22.5,"Battle","D"
428,"COLEMAN NFH","fall",2.9,61,2016-03-14,114271,457610,3,2016,42100,2016-04-08,77,"055956",24.5,"Battle","D"
428,"COLEMAN NFH","fall",2.9,61,2016-03-14,114271,457610,3,2016,42100,2016-04-08,81,"055956",24.5,"Battle","D"
429,"COLEMAN NFH","fall",2.9,62,2012-05-01,107431,429874,5,2012,11900,2012-05-10,72,"055526",8.5,"Battle","D"
429,"COLEMAN NFH","fall",2.9,62,2012-05-01,107431,429874,5,2012,11900,2012-05-11,72,"055526",9.5,"Battle","D"
429,"COLEMAN NFH","fall",2.9,62,2012-05-01,107431,429874,5,2012,11900,2012-05-07,76,"055526",5.5,"Battle","D"
429,"COLEMAN NFH","fall",2.9,62,2012-05-01,107431,429874,5,2012,11900,2012-05-09,68,"055526",7.5,"Battle","D"
429,"COLEMAN NFH","fall",2.9,62,2012-05-01,107431,429874,5,2012,11900,2012-05-09,66,"055526",7.5,"Battle","D"
430,"COLEMAN NFH","fall",2.9,65,2022-03-18,111449,444573,3,2022,4430,NA,NA,NA,NA,"Battle","D"
431,"COLEMAN NFH","fall",2.9,66,2022-04-01,112152,449339,4,2022,5870,NA,NA,NA,NA,"Battle","D"
432,"COLEMAN NFH","fall",2.91,64,1994-04-14,53575,56242,4,1994,9030,NA,NA,NA,NA,"Battle",NA
433,"COLEMAN NFH","fall",2.95,63,1999-04-27,35178,483375,4,1999,17200,NA,NA,NA,NA,"Battle",NA
435,"COLEMAN NFH","fall",2.98,65,2009-04-23,111938,450191,4,2009,9680,2009-04-29,74,"054898",5.5,"Battle","D"
435,"COLEMAN NFH","fall",2.98,65,2009-04-23,111938,450191,4,2009,9680,2009-05-20,80,"054898",26.5,"Battle","D"
436,"COLEMAN NFH","fall",3,64,2011-04-28,101916,407778,4,2011,56400,2011-05-12,79,"055383",13.5,"Battle","W"
436,"COLEMAN NFH","fall",3,64,2011-04-28,101916,407778,4,2011,56400,2011-05-12,73,"055383",13.5,"Battle","W"
436,"COLEMAN NFH","fall",3,64,2011-04-28,101916,407778,4,2011,56400,2011-05-29,91,"055383",30.5,"Battle","W"
436,"COLEMAN NFH","fall",3,64,2011-04-28,101916,407778,4,2011,56400,2011-05-04,74,"055383",5.5,"Battle","W"
437,"COLEMAN NFH","fall",3,64,2022-03-15,83509,335106,3,2022,4430,NA,NA,NA,NA,"Battle","D"
438,"COLEMAN NFH","fall",3,65,2022-03-18,111647,446550,3,2022,4430,NA,NA,NA,NA,"Battle","D"
439,"COLEMAN NFH","fall",3,66,2011-04-28,109050,436507,4,2011,56400,2011-05-09,74,"055387",10.5,"Battle","W"
441,"COLEMAN NFH","fall",3,66,2022-04-01,108401,436800,4,2022,5870,NA,NA,NA,NA,"Battle","D"
442,"COLEMAN NFH","fall",3,67,2011-04-28,116363,465878,4,2011,56400,2011-05-06,71,"055386",7.5,"Battle","W"
443,"COLEMAN NFH","fall",3,70,2021-03-10,113219,454311,3,2021,8670,2021-04-03,82,"056546",23.5,"Battle","D"
444,"COLEMAN NFH","fall",3,76,2016-04-12,109002,442147,4,2016,8700,NA,NA,NA,NA,"Battle","D"
446,"COLEMAN NFH","fall",3.02,68,1999-04-27,35985,480263,4,1999,17200,NA,NA,NA,NA,"Battle",NA
447,"COLEMAN NFH","fall",3.06,65,1998-03-31,21694,445383,3,1998,65100,NA,NA,NA,NA,"Battle",NA
448,"COLEMAN NFH","fall",3.07,64,1998-03-31,73319,443422,3,1998,65100,NA,NA,NA,NA,"Battle",NA
449,"COLEMAN NFH","fall",3.08,67,2019-03-14,109772,445223,3,2019,64500,2019-03-25,70,"056290",10.5,"Battle","W"
449,"COLEMAN NFH","fall",3.08,67,2019-03-14,109772,445223,3,2019,64500,2019-03-26,73,"056290",11.5,"Battle","W"
449,"COLEMAN NFH","fall",3.08,67,2019-03-14,109772,445223,3,2019,64500,2019-03-27,77,"056290",12.5,"Battle","W"
449,"COLEMAN NFH","fall",3.08,67,2019-03-14,109772,445223,3,2019,64500,2019-03-28,79,"056290",13.5,"Battle","W"
449,"COLEMAN NFH","fall",3.08,67,2019-03-14,109772,445223,3,2019,64500,2019-03-29,79,"056290",14.5,"Battle","W"
449,"COLEMAN NFH","fall",3.08,67,2019-03-14,109772,445223,3,2019,64500,2019-03-29,80,"056290",14.5,"Battle","W"
449,"COLEMAN NFH","fall",3.08,67,2019-03-14,109772,445223,3,2019,64500,2019-03-29,73,"056290",14.5,"Battle","W"
449,"COLEMAN NFH","fall",3.08,67,2019-03-14,109772,445223,3,2019,64500,2019-03-29,70,"056290",14.5,"Battle","W"
449,"COLEMAN NFH","fall",3.08,67,2019-03-14,109772,445223,3,2019,64500,2019-03-29,75,"056290",14.5,"Battle","W"
449,"COLEMAN NFH","fall",3.08,67,2019-03-14,109772,445223,3,2019,64500,2019-03-30,76,"056290",15.5,"Battle","W"
449,"COLEMAN NFH","fall",3.08,67,2019-03-14,109772,445223,3,2019,64500,2019-03-30,71,"056290",15.5,"Battle","W"
449,"COLEMAN NFH","fall",3.08,67,2019-03-14,109772,445223,3,2019,64500,2019-03-31,76,"056290",16.5,"Battle","W"
449,"COLEMAN NFH","fall",3.08,67,2019-03-14,109772,445223,3,2019,64500,2019-04-01,75,"056290",17.5,"Battle","W"
449,"COLEMAN NFH","fall",3.08,67,2019-03-14,109772,445223,3,2019,64500,2019-04-02,74,"056290",18.5,"Battle","W"
449,"COLEMAN NFH","fall",3.08,67,2019-03-14,109772,445223,3,2019,64500,2019-04-03,75,"056290",19.5,"Battle","W"
449,"COLEMAN NFH","fall",3.08,67,2019-03-14,109772,445223,3,2019,64500,2019-04-03,78,"056290",19.5,"Battle","W"
449,"COLEMAN NFH","fall",3.08,67,2019-03-14,109772,445223,3,2019,64500,2019-04-04,85,"056290",20.5,"Battle","W"
449,"COLEMAN NFH","fall",3.08,67,2019-03-14,109772,445223,3,2019,64500,2019-04-05,83,"056290",21.5,"Battle","W"
449,"COLEMAN NFH","fall",3.08,67,2019-03-14,109772,445223,3,2019,64500,2019-04-05,77,"056290",21.5,"Battle","W"
449,"COLEMAN NFH","fall",3.08,67,2019-03-14,109772,445223,3,2019,64500,2019-04-05,81,"056290",21.5,"Battle","W"
449,"COLEMAN NFH","fall",3.08,67,2019-03-14,109772,445223,3,2019,64500,2019-04-06,73,"056290",22.5,"Battle","W"
449,"COLEMAN NFH","fall",3.08,67,2019-03-14,109772,445223,3,2019,64500,2019-04-08,78,"056290",24.5,"Battle","W"
449,"COLEMAN NFH","fall",3.08,67,2019-03-14,109772,445223,3,2019,64500,2019-04-10,78,"056290",26.5,"Battle","W"
449,"COLEMAN NFH","fall",3.08,67,2019-03-14,109772,445223,3,2019,64500,2019-04-11,80,"056290",27.5,"Battle","W"
449,"COLEMAN NFH","fall",3.08,67,2019-03-14,109772,445223,3,2019,64500,2019-04-11,92,"056290",27.5,"Battle","W"
449,"COLEMAN NFH","fall",3.08,67,2019-03-14,109772,445223,3,2019,64500,2019-04-11,76,"056290",27.5,"Battle","W"
449,"COLEMAN NFH","fall",3.08,67,2019-03-14,109772,445223,3,2019,64500,2019-04-11,75,"056290",27.5,"Battle","W"
449,"COLEMAN NFH","fall",3.08,67,2019-03-14,109772,445223,3,2019,64500,2019-04-13,89,"056290",29.5,"Battle","W"
449,"COLEMAN NFH","fall",3.08,67,2019-03-14,109772,445223,3,2019,64500,2019-04-13,92,"056290",29.5,"Battle","W"
449,"COLEMAN NFH","fall",3.08,67,2019-03-14,109772,445223,3,2019,64500,2019-04-13,78,"056290",29.5,"Battle","W"
449,"COLEMAN NFH","fall",3.08,67,2019-03-14,109772,445223,3,2019,64500,2019-04-17,76,"056290",33.5,"Battle","W"
449,"COLEMAN NFH","fall",3.08,67,2019-03-14,109772,445223,3,2019,64500,2019-04-19,83,"056290",35.5,"Battle","W"
449,"COLEMAN NFH","fall",3.08,67,2019-03-14,109772,445223,3,2019,64500,2019-05-06,98,"056290",52.5,"Battle","W"
450,"COLEMAN NFH","fall",3.1,63,2012-05-01,116492,466197,5,2012,11900,2012-05-10,74,"055525",8.5,"Battle","D"
450,"COLEMAN NFH","fall",3.1,63,2012-05-01,116492,466197,5,2012,11900,2012-05-10,71,"055525",8.5,"Battle","D"
450,"COLEMAN NFH","fall",3.1,63,2012-05-01,116492,466197,5,2012,11900,2012-05-07,68,"055525",5.5,"Battle","D"
450,"COLEMAN NFH","fall",3.1,63,2012-05-01,116492,466197,5,2012,11900,2012-05-09,71,"055525",7.5,"Battle","D"
451,"COLEMAN NFH","fall",3.1,64,2016-03-22,93418,373799,3,2016,42100,2016-04-01,77,"055962",9.5,"Battle","D"
451,"COLEMAN NFH","fall",3.1,64,2016-03-22,93418,373799,3,2016,42100,2016-04-01,68,"055962",9.5,"Battle","D"
451,"COLEMAN NFH","fall",3.1,64,2016-03-22,93418,373799,3,2016,42100,2016-04-02,70,"055962",10.5,"Battle","D"
451,"COLEMAN NFH","fall",3.1,64,2016-03-22,93418,373799,3,2016,42100,2016-04-02,73,"055962",10.5,"Battle","D"
451,"COLEMAN NFH","fall",3.1,64,2016-03-22,93418,373799,3,2016,42100,2016-04-04,73,"055962",12.5,"Battle","D"
451,"COLEMAN NFH","fall",3.1,64,2016-03-22,93418,373799,3,2016,42100,2016-04-05,72,"055962",13.5,"Battle","D"
451,"COLEMAN NFH","fall",3.1,64,2016-03-22,93418,373799,3,2016,42100,2016-04-05,76,"055962",13.5,"Battle","D"
451,"COLEMAN NFH","fall",3.1,64,2016-03-22,93418,373799,3,2016,42100,2016-04-06,72,"055962",14.5,"Battle","D"
451,"COLEMAN NFH","fall",3.1,64,2016-03-22,93418,373799,3,2016,42100,2016-04-06,73,"055962",14.5,"Battle","D"
451,"COLEMAN NFH","fall",3.1,64,2016-03-22,93418,373799,3,2016,42100,2016-04-06,74,"055962",14.5,"Battle","D"
451,"COLEMAN NFH","fall",3.1,64,2016-03-22,93418,373799,3,2016,42100,2016-04-06,79,"055962",14.5,"Battle","D"
451,"COLEMAN NFH","fall",3.1,64,2016-03-22,93418,373799,3,2016,42100,2016-04-09,81,"055962",17.5,"Battle","D"
451,"COLEMAN NFH","fall",3.1,64,2016-03-22,93418,373799,3,2016,42100,2016-04-11,78,"055962",19.5,"Battle","D"
451,"COLEMAN NFH","fall",3.1,64,2016-03-22,93418,373799,3,2016,42100,2016-04-13,75,"055962",21.5,"Battle","D"
452,"COLEMAN NFH","fall",3.1,65,2022-03-15,96788,387841,3,2022,4430,NA,NA,NA,NA,"Battle","D"
453,"COLEMAN NFH","fall",3.1,66,2013-04-24,112180,453346,4,2013,11300,NA,NA,NA,NA,"Battle",NA
454,"COLEMAN NFH","fall",3.1,66,2016-04-29,111343,446669,4,2016,8700,2016-05-06,74,"055979",6.5,"Battle","D"
454,"COLEMAN NFH","fall",3.1,66,2016-04-29,111343,446669,4,2016,8700,2016-05-15,80,"055979",15.5,"Battle","D"
455,"COLEMAN NFH","fall",3.16,66,1998-03-31,30772,436674,3,1998,65100,NA,NA,NA,NA,"Battle",NA
456,"COLEMAN NFH","fall",3.17,61,1997-04-16,67281,480385,4,1997,10200,NA,NA,NA,NA,"Battle",NA
457,"COLEMAN NFH","fall",3.18,65,1998-03-31,27654,446483,3,1998,65100,NA,NA,NA,NA,"Battle",NA
459,"COLEMAN NFH","fall",3.2,66,2016-03-22,122928,493967,3,2016,42100,2016-03-30,74,"055959",7.5,"Battle","D"
459,"COLEMAN NFH","fall",3.2,66,2016-03-22,122928,493967,3,2016,42100,2016-04-01,74,"055959",9.5,"Battle","D"
459,"COLEMAN NFH","fall",3.2,66,2016-03-22,122928,493967,3,2016,42100,2016-04-01,79,"055959",9.5,"Battle","D"
459,"COLEMAN NFH","fall",3.2,66,2016-03-22,122928,493967,3,2016,42100,2016-04-01,78,"055959",9.5,"Battle","D"
459,"COLEMAN NFH","fall",3.2,66,2016-03-22,122928,493967,3,2016,42100,2016-04-02,75,"055959",10.5,"Battle","D"
459,"COLEMAN NFH","fall",3.2,66,2016-03-22,122928,493967,3,2016,42100,2016-04-03,78,"055959",11.5,"Battle","D"
459,"COLEMAN NFH","fall",3.2,66,2016-03-22,122928,493967,3,2016,42100,2016-04-03,82,"055959",11.5,"Battle","D"
459,"COLEMAN NFH","fall",3.2,66,2016-03-22,122928,493967,3,2016,42100,2016-04-03,79,"055959",11.5,"Battle","D"
459,"COLEMAN NFH","fall",3.2,66,2016-03-22,122928,493967,3,2016,42100,2016-04-04,73,"055959",12.5,"Battle","D"
459,"COLEMAN NFH","fall",3.2,66,2016-03-22,122928,493967,3,2016,42100,2016-04-04,72,"055959",12.5,"Battle","D"
459,"COLEMAN NFH","fall",3.2,66,2016-03-22,122928,493967,3,2016,42100,2016-04-05,73,"055959",13.5,"Battle","D"
459,"COLEMAN NFH","fall",3.2,66,2016-03-22,122928,493967,3,2016,42100,2016-04-05,78,"055959",13.5,"Battle","D"
459,"COLEMAN NFH","fall",3.2,66,2016-03-22,122928,493967,3,2016,42100,2016-04-05,80,"055959",13.5,"Battle","D"
459,"COLEMAN NFH","fall",3.2,66,2016-03-22,122928,493967,3,2016,42100,2016-04-06,76,"055959",14.5,"Battle","D"
459,"COLEMAN NFH","fall",3.2,66,2016-03-22,122928,493967,3,2016,42100,2016-04-06,81,"055959",14.5,"Battle","D"
459,"COLEMAN NFH","fall",3.2,66,2016-03-22,122928,493967,3,2016,42100,2016-04-06,79,"055959",14.5,"Battle","D"
459,"COLEMAN NFH","fall",3.2,66,2016-03-22,122928,493967,3,2016,42100,2016-04-08,81,"055959",16.5,"Battle","D"
459,"COLEMAN NFH","fall",3.2,66,2016-03-22,122928,493967,3,2016,42100,2016-04-08,80,"055959",16.5,"Battle","D"
459,"COLEMAN NFH","fall",3.2,66,2016-03-22,122928,493967,3,2016,42100,2016-04-09,72,"055959",17.5,"Battle","D"
459,"COLEMAN NFH","fall",3.2,66,2016-03-22,122928,493967,3,2016,42100,2016-04-09,80,"055959",17.5,"Battle","D"
459,"COLEMAN NFH","fall",3.2,66,2016-03-22,122928,493967,3,2016,42100,2016-04-11,77,"055959",19.5,"Battle","D"
459,"COLEMAN NFH","fall",3.2,66,2016-03-22,122928,493967,3,2016,42100,2016-04-13,83,"055959",21.5,"Battle","D"
459,"COLEMAN NFH","fall",3.2,66,2016-03-22,122928,493967,3,2016,42100,2016-04-13,71,"055959",21.5,"Battle","D"
460,"COLEMAN NFH","fall",3.2,67,2022-04-01,111910,449437,4,2022,5870,NA,NA,NA,NA,"Battle","D"
461,"COLEMAN NFH","fall",3.21,65,1999-04-27,34932,480263,4,1999,17200,NA,NA,NA,NA,"Battle",NA
462,"COLEMAN NFH","fall",3.25,68,2018-04-13,58894,236932,4,2018,37000,2018-04-20,78,"056249",6.5,"Battle","D"
462,"COLEMAN NFH","fall",3.25,68,2018-04-13,58894,236932,4,2018,37000,2018-04-24,86,"056249",10.5,"Battle","D"
462,"COLEMAN NFH","fall",3.25,68,2018-04-13,58894,236932,4,2018,37000,2018-04-25,80,"056249",11.5,"Battle","D"
462,"COLEMAN NFH","fall",3.25,68,2018-04-13,58894,236932,4,2018,37000,2018-04-28,78,"056249",14.5,"Battle","D"
462,"COLEMAN NFH","fall",3.25,68,2018-04-13,58894,236932,4,2018,37000,2018-04-29,83,"056249",15.5,"Battle","D"
463,"COLEMAN NFH","fall",3.25,70,2018-04-06,94803,380574,4,2018,37000,2018-04-10,72,"056243",3.5,"Battle","D"
463,"COLEMAN NFH","fall",3.25,70,2018-04-06,94803,380574,4,2018,37000,2018-04-10,70,"056243",3.5,"Battle","D"
463,"COLEMAN NFH","fall",3.25,70,2018-04-06,94803,380574,4,2018,37000,2018-04-10,75,"056243",3.5,"Battle","D"
463,"COLEMAN NFH","fall",3.25,70,2018-04-06,94803,380574,4,2018,37000,2018-04-10,80,"056243",3.5,"Battle","D"
463,"COLEMAN NFH","fall",3.25,70,2018-04-06,94803,380574,4,2018,37000,2018-04-10,68,"056243",3.5,"Battle","D"
463,"COLEMAN NFH","fall",3.25,70,2018-04-06,94803,380574,4,2018,37000,2018-04-10,74,"056243",3.5,"Battle","D"
463,"COLEMAN NFH","fall",3.25,70,2018-04-06,94803,380574,4,2018,37000,2018-04-11,76,"056243",4.5,"Battle","D"
463,"COLEMAN NFH","fall",3.25,70,2018-04-06,94803,380574,4,2018,37000,2018-04-11,84,"056243",4.5,"Battle","D"
463,"COLEMAN NFH","fall",3.25,70,2018-04-06,94803,380574,4,2018,37000,2018-04-11,75,"056243",4.5,"Battle","D"
463,"COLEMAN NFH","fall",3.25,70,2018-04-06,94803,380574,4,2018,37000,2018-04-27,76,"056243",20.5,"Battle","D"
463,"COLEMAN NFH","fall",3.25,70,2018-04-06,94803,380574,4,2018,37000,2018-05-01,88,"056243",24.5,"Battle","D"
464,"COLEMAN NFH","fall",3.29,68,2021-04-08,109302,437407,4,2021,8810,2021-04-16,71,"056567",7.5,"Battle","D"
