"FishID","GEN","GenRKM","Region","min_time","year"
"SB2023-045","Endpoint",61.815,"End",2023-04-19 01:08:49,2023
"SB2023-046","Releasepoint",290.685625,"Butte Ck",2023-04-13 15:15:00,2023
"SB2023-047","Releasepoint",290.685625,"Butte Ck",2023-04-13 15:15:00,2023
"SB2023-047","Sacramento",150.086666666667,"Lower Sac R",2023-04-17 06:45:36,2023
"SB2023-047","Endpoint",61.815,"End",2023-04-22 18:00:07,2023
"SB2023-048","Releasepoint",290.685625,"Butte Ck",2023-04-13 15:15:00,2023
"SB2023-048","Sacramento",150.086666666667,"Lower Sac R",2023-04-16 16:09:18,2023
"SB2023-049","Releasepoint",290.685625,"Butte Ck",2023-04-13 15:15:00,2023
"SB2023-049","Sacramento",150.086666666667,"Lower Sac R",2023-04-16 10:11:45,2023
"SB2023-049","Endpoint",61.815,"End",2023-04-20 15:30:29,2023
"SB2023-050","Releasepoint",290.685625,"Butte Ck",2023-04-13 15:15:00,2023
"SB2023-050","Sacramento",150.086666666667,"Lower Sac R",2023-04-15 17:02:47,2023
"SB2023-050","Endpoint",61.815,"End",2023-04-21 16:37:06,2023
"SB2023-051","Releasepoint",290.685625,"Butte Ck",2023-04-13 15:15:00,2023
"SB2023-051","Sacramento",150.086666666667,"Lower Sac R",2023-04-15 18:49:38,2023
"SB2023-051","Endpoint",61.815,"End",2023-04-19 15:38:30,2023
"SB2023-052","Releasepoint",290.685625,"Butte Ck",2023-04-13 15:15:00,2023
"SB2023-052","Sacramento",150.086666666667,"Lower Sac R",2023-04-15 07:29:52,2023
"SB2023-053","Releasepoint",290.685625,"Butte Ck",2023-04-13 15:15:00,2023
"SB2023-054","Releasepoint",290.685625,"Butte Ck",2023-04-13 15:15:00,2023
"SB2023-054","Sacramento",150.086666666667,"Lower Sac R",2023-04-17 19:56:29,2023
"SB2023-054","Endpoint",61.815,"End",2023-04-26 17:50:40,2023
"SB2023-055","Releasepoint",290.685625,"Butte Ck",2023-04-13 15:15:00,2023
"SB2023-055","Sacramento",150.086666666667,"Lower Sac R",2023-04-15 20:05:28,2023
"SB2023-055","Endpoint",61.815,"End",2023-04-20 15:59:09,2023
"SB2023-056","Releasepoint",290.685625,"Butte Ck",2023-04-13 15:15:00,2023
"SB2023-057","Releasepoint",290.685625,"Butte Ck",2023-04-13 15:15:00,2023
"SB2023-057","Sacramento",150.086666666667,"Lower Sac R",2023-04-15 18:23:11,2023
"SB2023-057","Endpoint",61.815,"End",2023-04-19 01:13:37,2023
"SB2023-058","Releasepoint",290.685625,"Butte Ck",2023-04-13 15:15:00,2023
"SB2023-058","Sacramento",150.086666666667,"Lower Sac R",2023-04-17 17:40:47,2023
"SB2023-058","Endpoint",61.815,"End",2023-04-24 18:10:41,2023
"SB2023-059","Releasepoint",290.685625,"Butte Ck",2023-04-13 15:15:00,2023
"SB2023-060","Releasepoint",290.685625,"Butte Ck",2023-04-13 15:15:00,2023
"SB2023-061","Releasepoint",290.685625,"Butte Ck",2023-04-13 15:15:00,2023
"SB2023-061","Sacramento",150.086666666667,"Lower Sac R",2023-04-15 16:54:14,2023
"SB2023-062","Releasepoint",290.685625,"Butte Ck",2023-04-13 15:15:00,2023
"SB2023-063","Releasepoint",290.685625,"Butte Ck",2023-04-13 15:15:00,2023
"SB2023-064","Releasepoint",290.685625,"Butte Ck",2023-04-13 15:15:00,2023
"SB2023-065","Releasepoint",290.685625,"Butte Ck",2023-04-13 15:15:00,2023
"SB2023-065","Sacramento",150.086666666667,"Lower Sac R",2023-04-15 21:26:34,2023
"SB2023-066","Releasepoint",290.685625,"Butte Ck",2023-04-13 15:15:00,2023
"SB2023-066","Sacramento",150.086666666667,"Lower Sac R",2023-04-15 16:41:55,2023
"SB2023-066","Endpoint",61.815,"End",2023-04-22 17:21:40,2023
"SB2023-067","Releasepoint",290.685625,"Butte Ck",2023-04-13 15:15:00,2023
"SB2023-068","Releasepoint",290.685625,"Butte Ck",2023-04-13 15:15:00,2023
"SB2023-069","Releasepoint",290.685625,"Butte Ck",2023-04-13 15:15:00,2023
"SB2023-069","Sacramento",150.086666666667,"Lower Sac R",2023-04-16 07:13:01,2023
"SB2023-069","Endpoint",61.815,"End",2023-04-25 20:24:16,2023
"SB2023-070","Releasepoint",290.685625,"Butte Ck",2023-04-14 15:45:00,2023
"SB2023-070","Sacramento",150.086666666667,"Lower Sac R",2023-04-19 11:17:40,2023
"SB2023-070","Endpoint",61.815,"End",2023-04-22 16:34:07,2023
"SB2023-071","Releasepoint",290.685625,"Butte Ck",2023-04-14 15:45:00,2023
"SB2023-072","Releasepoint",290.685625,"Butte Ck",2023-04-14 15:45:00,2023
"SB2023-073","Releasepoint",290.685625,"Butte Ck",2023-04-14 15:45:00,2023
"SB2023-074","Releasepoint",290.685625,"Butte Ck",2023-04-14 15:45:00,2023
"SB2023-074","Sacramento",150.086666666667,"Lower Sac R",2023-04-16 23:07:47,2023
"SB2023-074","Endpoint",61.815,"End",2023-04-22 17:23:49,2023
"SB2023-075","Releasepoint",290.685625,"Butte Ck",2023-04-14 15:45:00,2023
"SB2023-076","Releasepoint",290.685625,"Butte Ck",2023-04-14 15:45:00,2023
"SB2023-078","Releasepoint",290.685625,"Butte Ck",2023-04-14 15:45:00,2023
"SB2023-079","Releasepoint",290.685625,"Butte Ck",2023-04-14 15:45:00,2023
"SB2023-080","Releasepoint",290.685625,"Butte Ck",2023-04-14 15:45:00,2023
"SB2023-080","Sacramento",150.086666666667,"Lower Sac R",2023-04-20 16:28:59,2023
"SB2023-080","Endpoint",61.815,"End",2023-04-29 00:36:37,2023
"SB2023-081","Releasepoint",290.685625,"Butte Ck",2023-04-14 15:45:00,2023
"SB2023-081","Sacramento",150.086666666667,"Lower Sac R",2023-04-23 10:48:41,2023
"SB2023-081","Endpoint",61.815,"End",2023-04-28 17:25:21,2023
"SB2023-082","Releasepoint",290.685625,"Butte Ck",2023-04-14 15:45:00,2023
"SB2023-083","Releasepoint",290.685625,"Butte Ck",2023-04-14 15:45:00,2023
"SB2023-084","Releasepoint",290.685625,"Butte Ck",2023-04-14 15:45:00,2023
"SB2023-085","Releasepoint",290.685625,"Butte Ck",2023-04-14 15:45:00,2023
"SB2023-085","Sacramento",150.086666666667,"Lower Sac R",2023-04-16 10:59:07,2023
"SB2023-085","Endpoint",61.815,"End",2023-04-20 16:46:46,2023
"SB2023-086","Releasepoint",290.685625,"Butte Ck",2023-04-14 15:45:00,2023
"SB2023-086","Sacramento",150.086666666667,"Lower Sac R",2023-04-16 16:18:59,2023
"SB2023-086","Endpoint",61.815,"End",2023-04-22 18:15:28,2023
"SB2023-087","Releasepoint",290.685625,"Butte Ck",2023-04-14 15:45:00,2023
"SB2023-087","Sacramento",150.086666666667,"Lower Sac R",2023-04-17 02:56:22,2023
"SB2023-087","Endpoint",61.815,"End",2023-04-21 15:39:31,2023
"SB2023-088","Releasepoint",290.685625,"Butte Ck",2023-04-14 15:45:00,2023
"SB2023-088","Sacramento",150.086666666667,"Lower Sac R",2023-04-16 16:25:16,2023
"SB2023-088","Endpoint",61.815,"End",2023-04-19 15:30:58,2023
"SB2023-089","Releasepoint",290.685625,"Butte Ck",2023-04-14 15:45:00,2023
"SB2023-089","Sacramento",150.086666666667,"Lower Sac R",2023-04-18 02:26:45,2023
"SB2023-089","Endpoint",61.815,"End",2023-04-24 04:35:04,2023
"SB2023-090","Releasepoint",290.685625,"Butte Ck",2023-04-14 15:45:00,2023
"SB2023-090","Sacramento",150.086666666667,"Lower Sac R",2023-04-18 17:12:28,2023
"SB2023-090","Endpoint",61.815,"End",2023-04-23 16:56:58,2023
"SB2023-091","Releasepoint",290.685625,"Butte Ck",2023-04-14 15:45:00,2023
"SB2023-092","Releasepoint",290.685625,"Butte Ck",2023-04-14 15:45:00,2023
"SB2023-093","Releasepoint",290.685625,"Butte Ck",2023-04-14 15:45:00,2023
"SB2023-093","Sacramento",150.086666666667,"Lower Sac R",2023-04-16 17:31:03,2023
"SB2023-093","Endpoint",61.815,"End",2023-04-24 20:33:13,2023
"SB2023-094","Releasepoint",290.685625,"Butte Ck",2023-04-14 15:45:00,2023
"SB2023-095","Releasepoint",290.685625,"Butte Ck",2023-04-14 15:45:00,2023
"SB2023-096","Releasepoint",290.685625,"Butte Ck",2023-04-14 15:45:00,2023
