"group_index","release_group_id","year","month","release_location_name","relloc_area","mean","sd","2.5%","50%","97.5%","n_eff","Rhat"
144,656,2002,4,"COLEMAN NFH","Battle",0.240038568572166,0.0826408310742161,0.102190091357729,0.232599665699822,0.429161806124069,537.659997871181,1.00706847745754
145,659,2002,4,"COLEMAN NFH","Battle",0.193478182399319,0.0829958474492598,0.068668127299555,0.179227895688724,0.392826171724217,935.88456448891,0.999421202227995
146,675,2002,4,"COLEMAN NFH","Battle",0.32686925108596,0.100760390201782,0.163557283834981,0.317194660655973,0.550422622834518,551.450296495261,1.0039485460686
147,692,2002,4,"COLEMAN NFH","Battle",0.286205820734978,0.0966804528720085,0.127141248624974,0.278940730191276,0.496470691650284,602.145573185151,1.00652990389331
148,693,2002,4,"COLEMAN NFH","Battle",0.358448261223976,0.116327824081423,0.173775380642493,0.343880786197557,0.613397371956675,435.561578101674,1.00598508749128
149,696,2002,4,"COLEMAN NFH","Battle",0.466835919627207,0.115807496289823,0.26704297264743,0.458975605756759,0.714145763528231,213.258081095451,1.01731809127505
150,718,2002,4,"COLEMAN NFH","Battle",0.153678402177065,0.0706018722432451,0.0533355412182089,0.141974145965206,0.325250511764245,1148.9209555799,1.00205000068651
151,733,2002,4,"COLEMAN NFH","Battle",0.168510387238227,0.0737978005391327,0.0555655355904758,0.159945376105918,0.341260324774681,1031.43729378505,1.00203419345349
152,756,2002,4,"COLEMAN NFH","Battle",0.273625860627969,0.0975432494451647,0.116738516284196,0.260175152991763,0.490368849240661,530.667322330192,1.00056666585175
153,762,2002,4,"COLEMAN NFH","Battle",0.26955878407229,0.0975730675098013,0.110401055995963,0.257386728577486,0.494685850045788,619.614622515538,1.0015006131249
154,770,2002,4,"COLEMAN NFH","Battle",0.139907556686327,0.0717783099204713,0.0397964085811993,0.12593193721871,0.315456029875347,1255.23525680908,1.00011391630305
155,777,2002,4,"COLEMAN NFH","Battle",0.303120817327099,0.0994742608967892,0.145860702748925,0.290837272254885,0.523923724865527,568.561086727486,1.00219638803004
156,781,2002,4,"COLEMAN NFH","Battle",0.132212164654564,0.0621561247073462,0.0409560730891243,0.12142096972962,0.277133240111296,1332.24378629859,1.00110056448137
157,784,2002,4,"COLEMAN NFH","Battle",0.304974781076649,0.102413921833121,0.143460735718767,0.289292565762137,0.543498276130663,495.72218256759,1.00272831782952
158,802,2002,4,"COLEMAN NFH","Battle",0.178357574585302,0.0781340953483528,0.0607005649764412,0.167200455246116,0.353376215261269,690.066986764832,1.00303431672115
159,842,2002,4,"COLEMAN NFH","Battle",0.187560542026102,0.0764592412294043,0.0713752223774512,0.173598645366423,0.357986655758829,1324.36647151934,0.999974576659967
160,851,2002,4,"COLEMAN NFH","Battle",0.167309866843535,0.072205941379252,0.0566277404304084,0.158952569565914,0.340761027565411,1148.25663726542,1.00520064521177
161,852,2002,4,"COLEMAN NFH","Battle",0.191876594448231,0.0768058638590609,0.0710097933287507,0.181227299747246,0.369115750536453,874.85903597774,1.0022002186978
162,853,2002,4,"COLEMAN NFH","Battle",0.241773609613311,0.0890131600692639,0.0996458967976758,0.232915940317175,0.444495966762158,833.05221412984,0.999654350908483
163,866,2002,4,"COLEMAN NFH","Battle",0.187788102992656,0.0732153225694526,0.070197796694463,0.178070897280116,0.351339288982503,1166.856685542,1.00295970848472
164,2793,2003,2,"SAC R RED BLUFF DIV DAM","RBDD",0.569399296328041,0.132325556768829,0.328047648307976,0.565523648319974,0.837806093701849,574.969502257806,1.00622333445229
165,2792,2003,3,"SAC R RED BLUFF DIV DAM","RBDD",0.310202308687821,0.115980522658356,0.116777026277134,0.299717209640583,0.574813646058187,705.922278091726,1.00593851160848
166,2295,2004,3,"SAC R BEL RBDD","RBDD",0.377123628533587,0.132415426201745,0.165028744862894,0.360259615956338,0.660663862599098,631.153524508109,1.00103795478621
167,213,2004,4,"BATTLE CREEK BELOW CNFH","Battle",0.748903566077424,0.1056812314439,0.536956775059807,0.754990571589266,0.930851958075505,274.492325622598,1.01002130593107
